"April","April"
"August","August"
"Choose a valid address before you can select a shipping method.","Bitte wählen Sie eine gültige Lieferadresse, bevor Sie eine Versandart auswählen können."
"Choose your desired additional options","Wählen Sie Ihre gewünschten Zusatzoptionen"
"Click here to choose a different delivery option","Klicken Sie hier, um eine andere Versandoption auswählen"
"Click here to choose another pick-up point","Klicken Sie hier, um einen anderen Abholpunkt auszuwählen."
"Close","Schließen"
"December","Dezember"
"Delivery Information","Lieferinformationen"
"Delivery","Lieferung"
"EveningDelivery","Lieferung am Abend"
"February","Februar"
"Friday","Freitag"
"January","Januar"
"July","Juli"
"June","Juni"
"March","März"
"May","Mai"
"Monday","Montag"
"Monta - Password","Monta - Password"
"Monta - Username","Monta - Username"
"Monta - Webshop","Monta - Webshop"
"NoNeighbour","Nicht an die Nachbarn liefern"
"November","November"
"October","Oktober"
"Pick-up address","Abholadresse"
"Pick-up","Abholen"
"Please select a delivery option. If no options are visible, please make sure you've entered your address information correctly.","Wählen Sie eine Lieferoption aus. Wenn keine Optionen sichtbar sind, überprüfen Sie, ob Sie Ihre Adressdaten richtig eingegeben haben."
"Please select a postnumber. This is mandatory for pack stations","Bitte wählen Sie eine PostNummer aus. Dies ist für Packstationen obligatorisch."
"Post number","PostNummer"
"Postal Code","PostNummer"
"SameDayDelivery","Lieferung am selben Tag"
"Saturday","Samstag"
"SaturdayDelivery","Lieferung am Samstag"
"Search","Suche"
"Select another pick-up point near you below or","Wählen Sie unten einen anderen Abholpunkt oder"
"Select delivery option","Wählen Sie die Lieferoption"
"Select pick-up point","Abholpunkt auswählen"
"September","September"
"Shipping Cost","Versandkosten"
"Ships on this date from the Netherlands","Wird an diesem Tag aus den Niederlanden versendet"
"Show business hours","Öffnungszeiten anzeigen"
"SignatureOnDelivery","Auf Quittung unterschreiben"
"Sunday","Sonntag"
"Sustainably delivered","Nachhaltig geliefert"
"Thursday","Donnerstag"
"Tuesday","Dienstag"
"Unfortunately, no pick-up points could be found.","Leider konnten keine Sammelstellen gefunden werden."
"Use selection","Auswahl verwenden"
"Want to deliver today or another day? Click here","Möchten Sie es heute oder an einem anderen Tag geliefert bekommen? Klicke hier"
"Wednesday","Mittwoch"
"Your order will be delivered with","Ihre Bestellung wird geliefert mit"
"Your order will be shipped with","Ihre Bestellung wird versendet mit"
"between","zwischen"
"click here"," klicke hier "
"from","von"
"hour"," Stunde"
"on","den"
"to choose another pick-up point","um einen anderen Abholpunkt zu wählen."
