"April","april"
"August","augustus"
"Choose a valid address before you can select a shipping method.","Kies een geldig afleveradres voordat u een verzendmethode kunt selecteren."
"Choose your desired additional options","Kies uw gewenste extra opties"
"Click here to choose a different delivery option","Klik hier om een andere bezorgoptie te kiezen"
"Click here to choose another pick-up point","Klik hier om een ander afhaalpunt te kiezen"
"Close","Sluiten"
"December","december"
"Delivery Information","Bezorginformatie"
"Delivery","Bezorgen"
"EveningDelivery","In avond afleveren"
"February","februari"
"Friday","Vrijdag"
"January","januari"
"July","juli"
"June","juni"
"March","maart"
"May","mei"
"Monday","Maandag"
"Monta - Password","Monta - Password"
"Monta - Username","Monta - Username"
"Monta - Webshop","Monta - Webshop"
"NoNeighbour","Niet bij de buren afleveren"
"November","november"
"October","october"
"Pick-up address","Afhaaladres"
"Pick-up","Afhalen"
"Please select a delivery option. If no options are visible, please make sure you've entered your address information correctly.","Selecteer een bezorgoptie. Als er geen opties zichtbaar zijn, controleer dan of u uw adresgegevens correct heeft ingevoerd."
"Please select a postnumber. This is mandatory for pack stations","Please select a postnumber. This is mandatory for pack stations"
"Post number","Post nummer"
"Postal Code","Postcode"
"SameDayDelivery","Zelfde dag levering"
"Saturday","Zaterdag"
"SaturdayDelivery","Zaterdag levering"
"Search","Zoeken"
"Select another pick-up point near you below or"," Selecteer hieronder een ander afhaalpunt of"
"Select delivery option","Selecteer bezorgoptie"
"Select pick-up point","Selecteer afhaalpunt"
"September","september"
"Shipping Cost","Verzendkosten"
"Ships on this date from the Netherlands","Wordt op deze datum verstuurd vanuit Nederland"
"Show business hours","Toon openingstijden"
"SignatureOnDelivery","Tekenen bij ontvangst"
"Sunday","Zondag"
"Sustainably delivered","Duurzaam bezorgd"
"Thursday","Donderdag"
"Tuesday","Dinsdag"
"Unfortunately, no pick-up points could be found."," Er konden helaas geen afhaalpunten gevonden worden."
"Use selection","Gebruik selectie"
"Want to deliver today or another day? Click here","Wilt u vandaag nog laten bezorgen of op een andere dag? Klik hier"
"Wednesday","Woensdag"
"Your order will be delivered with","Uw order wordt bezorgd met"
"Your order will be shipped with","Uw order wordt verzonden met"
"between","tussen"
"click here"," klik hier "
"from","v.a."
"hour"," uur"
"on","op"
"to choose another pick-up point","om een ander afhaalpunt te kiezen"
